scenario,seed,policy,eviction_penalty,requests,prefill_tokens_total,prefill_tokens_p95,cache_hit_ratio,evicted_tokens_total
one-shot,5,LRU,0.0,1000.0,35107.0,66.0,0.363161427249805,34906.0
one-shot,5,upstream-LCP,0.0,1000.0,35037.0,65.04999999999995,0.36443122244997916,34836.0
one-shot,5,cost-aware-0.25,0.25,1000.0,35032.0,66.0,0.3645219221071344,34568.0
one-shot,5,cost-aware-0.5,0.5,1000.0,35032.0,66.0,0.3645219221071344,34568.0
one-shot,5,cost-aware-1.0,1.0,1000.0,35032.0,66.0,0.3645219221071344,34568.0
one-shot,6,LRU,0.0,1000.0,34584.0,61.049999999999955,0.3665005861664713,34377.0
one-shot,6,upstream-LCP,0.0,1000.0,34512.0,59.09999999999991,0.3678194607268464,34305.0
one-shot,6,cost-aware-0.25,0.25,1000.0,34557.0,59.09999999999991,0.366995164126612,34124.0
one-shot,6,cost-aware-0.5,0.5,1000.0,34557.0,59.09999999999991,0.366995164126612,34124.0
one-shot,6,cost-aware-1.0,1.0,1000.0,34557.0,59.09999999999991,0.366995164126612,34124.0
one-shot,7,LRU,0.0,1000.0,34942.0,64.04999999999995,0.36358006702608187,34730.0
one-shot,7,upstream-LCP,0.0,1000.0,34785.0,64.0,0.3664396036718636,34573.0
one-shot,7,cost-aware-0.25,0.25,1000.0,34753.0,62.049999999999955,0.36702243916654526,34317.0
one-shot,7,cost-aware-0.5,0.5,1000.0,34753.0,62.049999999999955,0.36702243916654526,34317.0
one-shot,7,cost-aware-1.0,1.0,1000.0,34753.0,62.049999999999955,0.36702243916654526,34317.0
one-shot,8,LRU,0.0,1000.0,35915.0,67.04999999999995,0.3574214556644958,35735.0
one-shot,8,upstream-LCP,0.0,1000.0,35756.0,66.0,0.360266227724898,35576.0
one-shot,8,cost-aware-0.25,0.25,1000.0,35849.0,66.04999999999995,0.3586023044442854,35415.0
one-shot,8,cost-aware-0.5,0.5,1000.0,35849.0,66.04999999999995,0.3586023044442854,35415.0
one-shot,8,cost-aware-1.0,1.0,1000.0,35849.0,66.04999999999995,0.3586023044442854,35415.0
one-shot,9,LRU,0.0,1000.0,35261.0,63.0,0.3609938203367101,34980.0
one-shot,9,upstream-LCP,0.0,1000.0,35058.0,63.0,0.36467262282307317,34777.0
one-shot,9,cost-aware-0.25,0.25,1000.0,35261.0,63.0,0.3609938203367101,34836.0
one-shot,9,cost-aware-0.5,0.5,1000.0,35261.0,63.0,0.3609938203367101,34836.0
one-shot,9,cost-aware-1.0,1.0,1000.0,35261.0,63.0,0.3609938203367101,34836.0
one-shot,10,LRU,0.0,1000.0,35981.0,69.0,0.356344251444518,35744.0
one-shot,10,upstream-LCP,0.0,1000.0,35747.0,67.0,0.36053022307293253,35510.0
one-shot,10,cost-aware-0.25,0.25,1000.0,35736.0,67.04999999999995,0.36072699951700327,35274.0
one-shot,10,cost-aware-0.5,0.5,1000.0,35736.0,67.04999999999995,0.36072699951700327,35274.0
one-shot,10,cost-aware-1.0,1.0,1000.0,35736.0,67.04999999999995,0.36072699951700327,35274.0
one-shot,11,LRU,0.0,1000.0,34871.0,64.0,0.36356335894581226,34678.0
one-shot,11,upstream-LCP,0.0,1000.0,34597.0,64.0,0.36856418024858095,34404.0
one-shot,11,cost-aware-0.25,0.25,1000.0,34631.0,64.0,0.3679436403788943,34238.0
one-shot,11,cost-aware-0.5,0.5,1000.0,34631.0,64.0,0.3679436403788943,34238.0
one-shot,11,cost-aware-1.0,1.0,1000.0,34631.0,64.0,0.3679436403788943,34238.0
one-shot,12,LRU,0.0,1000.0,35075.0,62.0,0.36296767163094806,34895.0
one-shot,12,upstream-LCP,0.0,1000.0,35027.0,61.049999999999955,0.3638394478750454,34847.0
one-shot,12,cost-aware-0.25,0.25,1000.0,34782.0,59.049999999999955,0.36828913912095895,34321.0
one-shot,12,cost-aware-0.5,0.5,1000.0,34782.0,59.049999999999955,0.36828913912095895,34321.0
one-shot,12,cost-aware-1.0,1.0,1000.0,34782.0,59.049999999999955,0.36828913912095895,34321.0
one-shot,13,LRU,0.0,1000.0,35271.0,65.04999999999995,0.3614952932657495,35082.0
one-shot,13,upstream-LCP,0.0,1000.0,35091.0,64.04999999999995,0.3647538015930485,34902.0
one-shot,13,cost-aware-0.25,0.25,1000.0,35171.0,65.0,0.3633055756698045,34732.0
one-shot,13,cost-aware-0.5,0.5,1000.0,35171.0,65.0,0.3633055756698045,34732.0
